민원접수일,민원접수시간,주소,경도,위도
20211120,07:08:00,서울 동대문구 제기동 65,127.03994844195816,37.57865844753862
20211120,13:28:00,서울 동대문구 청량리동 235-14,127.04755875742411,37.58291282199667
20211120,14:02:00,동대문구 휘경로 60 휘경에스케이뷰아파트와 휘경1동주민센터 옆 도로,127.064927845308,37.5937270875353
20211120,14:20:00,회기동 36-26(경희대로3길 2),127.052325100926,37.5927728901402
20211120,15:15:00,서울 동대문구 회기동 2-13,127.05507488662668,37.59261774969603
20211120,15:45:00,전농2동 주민센터 앞 도로 진입하는 곳,127.06000784823,37.5780910683282
20211121,10:34:00,서울 동대문구 경동시장로12길 36 (지번:제기동 530),127.042704200095,37.582093692817
20211121,11:02:00,동대문구 회기동 42-53,127.051662051748,37.5926449710754
20211121,11:21:00,서울 동대문구 회기동 3-20,127.05486760930242,37.59175514647075
20211121,11:23:00,인생설렁탕 경희대점/경희대로 9-1/ 회기동 42-84 앞,127.052230292891,37.5925612891452
20211121,13:34:00,서울 동대문구 회기동 61-20,127.05432032848252,37.59044220363985
20211121,14:27:00,서울 동대문구 회기동 60-203,127.05085084103804,37.59176370275267
20211121,16:03:00,서울 동대문구 회기동 61-20,127.05430896657356,37.59038814933671
20211122,08:36:00,서울 동대문구 회기동 2-27,127.05502960143257,37.592626780736296
20211122,09:48:00,서울 동대문구 회기동 2-27,127.05502956826116,37.592581731159136
20211123,12:10:00,동대문구 약령시로 104(제기동 591-13),127.041438913976,37.582892514066
20211123,15:44:00,동대문구 경동시장로12길 43 (  제기동 473-2  ) 소화전근처,127.043088313228,37.5822539300743
20211123,20:46:00,서울 동대문구 제기동 1212,127.03889265278656,37.58930854003131
20211124,12:40:00,휘경2동276~48압 ,127.061819662868,37.5896402350533
20211124,12:50:00,"동대문구 장안1동 190-62, 이슬어린이공원 앞",127.063572722399,37.5677977691663
20211124,13:06:00,서울 동대문구 청량리동 산 1-227,127.04195362178024,37.59122210030065
20211125,11:32:00,서울 동대문구 청량리동 38-38,127.04996394420915,37.58620495824756
20211125,12:46:00,동대문구 홍릉로 50 (청량리동 366) 신호등 앞,127.043967055011,37.5849071213308
20211125,12:49:00,서울 동대문구 청량리동 산 5-9,127.04082275125472,37.59120222451402
20211125,22:44:00,제기로23길 21-2 (청량리동 203-156번지) 맞은편 도로 소화전 ,127.042444794488,37.5878181557241
20211125,22:50:00,동대문구 회기동 3-16 앞으로 ,127.054402652699,37.5918541104043
20211126,08:57:00,동대문구 한천로 329 (휘경동 367-1) 휘경2동 주민센터에서 지하차도 쪽으로 길 건너,127.068591769026,37.5901338416767
20211126,16:01:00,서울 동대문구 청량리동 235-10,127.04492102515114,37.58320442560756
20211126,16:37:00,서울 동대문구 회기동 61-20,127.05435429636546,37.590442188002726
20211126,16:37:00,서울 동대문구 회기동 61-26,127.05456937695284,37.59037451434915
20211126,17:34:00,"제기동역 용두치안센터에서 성일중학교 사이길, 동대문구 왕산로 23길 35 대신택배앞",127.03414873904,37.5798261539343
20211126,19:18:00,경희대로 1길 8-16 (회기동 42-31) 가게앞으로,127.05204863222,37.5923405362802
20211126,20:10:00,회기로12길 50 (회기동 102-174) 앞 코너 돌아 올라가는 도로,127.049206861421,37.5898451060771
20211126,21:47:00,동대문구 회기동 3-16  대문 입구(주정차 단속지역),127.054402652699,37.5918541104043
20211127,14:27:00,제기로23길 21-2 (청량리동 203-156번지) 맞은편 도로 소화전위 ,127.042444794488,37.5878181557241
20211127,19:11:00,서울 동대문구 회기동 77-43,127.0560861445167,37.58975662369554
20211128,19:28:00,동대문구 회기동 42-66번지 (경희대로1가길 11) 앞 ,127.0513445067,37.5924086893669
20211128,23:01:00,제기로7길 31 (제기동 137-326) 앞 ,127.036806001847,37.5880883642791
20211129,09:48:00,동대문구  제기동정릉천동로 136앞,127.036527851002,37.5842261644227
20211129,11:39:00,서울 동대문구 회기동 61-20,127.05435428326074,37.590424168165015
20211129,18:28:00,서울 동대문구 제기동 891-2,127.0353445141884,37.58040784397248
20211130,14:01:00,동대문구 약령시로 92-1(제기동 838-23) 앞 ,127.040190124142,37.5828373545554
20211130,14:01:00,동대문구 약령시로 114(제기동 487) 앞,127.042692116752,37.5829401805236
20211130,14:01:00,동대문구 약령시로 122(제기동 438-9) 앞 ,127.043470482089,37.5829617004883
20211130,14:35:00,동대문구 왕산로45길 7(청량리동 50번지) 영진간판 앞,127.049278907634,37.5840587204536
20211130,21:55:00,서울 동대문구 제기동 858-2,127.03680942235547,37.58664226991311
20211201,12:12:00,서울 동대문구 회기동 60-203,127.0508226197437,37.59188985378575
20211201,14:55:00,동대문구 왕산로45길 7(청량리동 50번지) 영진간판 앞,127.049278907634,37.5840587204536
20211201,18:20:00,전농2동 주민센터 앞 ,127.060022639582,37.5780426774335
20211202,12:28:00,답십리2동 주민센터 앞,127.061282067268,37.5673977670564
20211202,14:41:00,청량리동 51번지 금성슈퍼 자리,127.048954069936,37.584375284414
20211202,15:01:00,전농2동 주민센터 앞 큰도로 우회전 진입하는 곳,127.06000784823,37.5780910683282
20211202,15:08:00,동대문구 제기로38길 57(청량리동 50-12번지) 주연 앞,127.048901479619,37.5837680368087
20211202,19:02:00,동대문구 약령시로 122 (제기동 438-9) 앞 ,127.043470482089,37.5829617004883
20211203,09:43:00,서울 동대문구 청량리동 205-847,127.04180497795656,37.59116358855319
20211203,13:57:00,서울 동대문구 회기동 46-1,127.0541395351876,37.59095134726716
20211203,19:38:00,전농2동 래미안아름숲 주변 주,127.052272278849,37.5810340594006
20211204,12:46:00,동대문구 경희대로4길 38 (회기동 3-16) 앞 도로 ,127.054432445093,37.5918723868059
20211205,20:15:00,전농2동 주민센터 앞 큰도로 우회전 진입하는 곳에 ,127.060022639582,37.5780426774335
20211206,07:15:00,동대문구 왕산로 147(제기동 1015) 앞,127.03965869498,37.5787842338973
20211206,12:13:00,서울 동대문구 제기동 1158-68,127.03366537957024,37.57867617397853
20211207,10:30:00,서울특별시 동대문구 제기동 286-30,127.0421058,37.585786
20211208,06:46:00,동대문구 왕산로 159(제기동 1000) 2차로 상 ,127.04091065835,37.5789705827103
20211208,06:46:00,동대문구 왕산로 147(제기동 1015) 앞 ,127.03965869498,37.5787842338973
20211208,08:26:00,왕산로 104 굿안경[제기동역4번출구] 옆 이면도로,127.035080031246,37.5779484796182
20211208,09:39:00,동대문구 약령시로 122(제기동 438-9) 왕도숯불갈비 앞,127.043470482089,37.5829617004883
20211208,09:56:00,동대문구 약령중앙로 21-1 (제기동 1141-51) 앞 도로상,127.036786066762,37.5802495494311
20211208,10:26:00,서울 동대문구 회기동 61-11,127.05457505635364,37.59039928900865
20211208,10:58:00,구획번호: 용신동B구역의 88일반,127.04463738899,37.5768935220532
20211208,12:23:00,전농2동 주민센터 앞 큰도로 우회전 진입하는 곳,127.060022639582,37.5780426774335
20211209,15:25:00,동대문구 왕산로35길 51(제기동 530-2번지) 막다른길 코너,127.042749992067,37.5819895213922
20211210,13:57:00,동대문구 회기로23가길 15 (회기동 4-1) 앞 도로,127.054044112123,37.5919286970509
20211211,08:37:00,동대문구 왕산로23길 35(제기동 1158-58번지) 대신택배 앞,127.034151379007,37.5799052604262
20211211,08:39:00,동대문구 경희대로1가길 5(회기동 107-13번지) 앞 외,127.051281581956,37.5921234626812
20211212,13:53:00, 전농동로타리에서 우회전할시 (전농동로타리에서 답십리1동주민센터방향입니다) ,127.057197607054,37.5775310539915
20211212,15:12:00,제기동우체국 앞에 있는 경동시장앞 버스정류장에서 제기사거리방향으로 조금 이동한 지점,127.03889333663,37.5821360952478
20211213,21:44:00,청량리동42-3(왕산로43가길 35)맞은편,127.049406666018,37.5849909246196
20211213,22:54:00,동대문구 왕산로23길35 (제기동 1158-58) 대신택배 옆 골목입구,127.034151379007,37.5799052604262
20211214,20:53:00,동대문구 한천로24길 74-1 (장안1동 374-11) 공사현장 앞 도로  ,127.068801079207,37.5688010698052
20211215,08:36:00,동대문구 안암로 86-1 은성빌딩(지번) 제기동 147-53 은성전기건물 뒷편 주차장쪽앞쪽도로상에 공사차량들이 길을막고 주차중으로 차량통행을 할수없다함 현장 확인 빠른 단속요청합니다. ,127.030581859549,37.5835114749066
20211215,10:46:00,서울 동대문구 회기동 61-26,127.05456371893294,37.59037902192579
20211215,11:23:00,동대문구 회기로12나길 4 ( 회기동 103-181) 레지던스k 앞에 ,127.049547545003,37.5908522728602
20211215,11:23:00,동대문구 회기로12나길 4 ( 회기동 103-181) 레지던스k 맞은편,127.049547545003,37.5908522728602
20211215,12:12:00,동대문구 경동시장로15길 11 (제기동 757-5),127.039643937525,37.583832416079
20211215,23:58:00,  동대문구  청량리동 740 ,127.044535723931,37.5810645318576
20211216,09:35:00,동대문구 홍릉로 63-1(청량리동 553)  소화전 앞,127.043119042274,37.5858705055628
20211217,08:27:00,제기동역4번출구 굿안경 옆 도로변 ,127.035080031246,37.5779484796182
20211217,13:46:00,서울 동대문구 회기동 46-1,127.05414518022182,37.59092881987501
20211217,20:20:00,서울 동대문구 제기동 135-128,127.03523353863176,37.58515160750042
20211217,21:46:00,서울 동대문구 회기동 76-7,127.054592025478,37.590379008837175
20211219,15:21:00,동대문구 회기로 117 (지번:회기동 60-108)와  동대문구 회기로 119 사이 횡단보도 정지선,127.049630502734,37.5916481744109
20211221,14:46:00,서울 동대문구 회기동 46-1,127.05419055595304,37.59104592802474
20211221,15:57:00,동대문구 고산자로 518 (지번) 제기동 678 서울홍파초등학교 후문 쪽,127.039519860354,37.5862031506384
20211221,19:11:00,서울 동대문구 회기동 61-26,127.05458069957018,37.59037450911399
20211222,10:50:00,왕산로 147 서울 동대문구 제기동 1015,127.03965869498,37.5787842338973
20211222,10:53:00,동대문구약령시로  104-1 (제기동 591-15)  ,127.041616551154,37.5828979476325
20211222,12:20:00,동대문구 회기동 16-56(도로명)경희대로 2 주소지 건물 뒷편으로 하나안경 사이로 불법주차 88더6253 차량이 불법주차중으로 단속요청합니다. ,127.052611244277,37.5918241986612
20211222,12:20:00,동대문구 회기로19길 10(지번) 회기동 16-97 이문닭발앞쪽 불법주차 80더8477.10두2944 단속요청합니다. ,127.052937303047,37.5919289283414
20211222,14:33:00,동대문구 왕산로43길 10(청량리동 50-27번지) 우진식당 앞,127.04862701447,37.5835492989337
20211222,17:04:00,동대문구 고산자로34가길 21(용신동 20-80)과 고산자로32길 25(용신동 20-81) 사이,127.039608037717,37.57676070809
20211223,17:22:00,서울 동대문구 제기동 1158-40,127.03375879386157,37.57871443954822
20211224,09:30:00,동대문구 답십리1동 256-7 페리카나치킨 앞,127.056067277821,37.5700350498163
20211225,04:04:00,동대문구 제기로 35(제기동 677-17)삼화페인트 셔터문 바로 앞 이면도로(제기로11길),127.037079768547,37.5867069666761
20211225,21:19:00,회기동 346-20,127.055063941523,37.5905179929152
20211226,11:04:00,서울 동대문구 제기동 1158-40,127.03373332193864,37.578714446829856
20211226,12:56:00,서울 동대문구 제기동 1142-15,127.03959830042687,37.59086476959254
20211226,15:10:00,서울 동대문구 회기동 102-67,127.049451207873,37.58985419408764
20211227,07:18:00,청량리동  428-4 ,127.044617761064,37.5857372323185
20211227,08:28:00,동대문구 제기동 1149-6 대로변 인도 위 ,127.036628751511,37.59028305679
20211227,08:59:00,서울 동대문구 청량리동 212-2,127.04550032620354,37.58633064974072
20211227,10:52:00, 동대문구 회기동 16-56 옆 이면도로 이문닭발닾 ,127.052937303047,37.5919289283414
20211227,14:33:00,서울 동대문구 제기동 122-667,127.03634391236628,37.58686766236263
20211227,14:33:00,서울 동대문구 제기동 120-460,127.03906458450624,37.58790068244576
20211227,16:45:00,동대문구 약령시로 122 (제기동 438-9) 왕도숯불갈비 앞,127.043470482089,37.5829617004883
20211228,12:00:00,"이문동115-80,이문1동주민센터",127.066382042492,37.5987894890348
20211228,13:02:00,동대문구 제기로5길 31 (제기동 137-78) 크림슨 하우스앞 ,127.034988337545,37.5878760125052
20211228,20:10:00,동대문구 제기로20길 43 (제기동 341) 우리부동산 골목 입구 ,127.041775901055,37.5846199597471
20211230,08:26:00,동대문구 용두동  제기동역4번출구 바로옆,127.03538868135496,37.57804722655839
20211230,10:28:00,동대문구 제기로4나길 36 (제기동 65-2) 앞 이면도로 ,127.034934724561,37.5841162749962
20211230,10:52:00,서울 동대문구 제기동 852-2,127.03707956376716,37.58058751047575
20211230,14:20:00,답십리2동 주민센터앞,127.061286310888,37.5673273970964
20211230,17:03:00,서울 동대문구 회기동 61-26,127.05458068312107,37.590351984316655
20211230,18:11:00,동대문구 약령시로 122 (지번)서울 동대문구 제기동 438-9 왕도숯불갈비 앞,127.043470482089,37.5829617004883
20211230,18:42:00,서울시 동대문구 경희대로1길 34(회기동 60-84)옆 ,127.050357893584,37.5920039383516
20211230,20:49:00,회기로12길 50 ( 회기동 102-174 ) 앞,127.049206861421,37.5898451060771
20211230,22:18:00,서울시 동대문구 제기로2가길 5 (제기동 67-65)앞,127.03462321871,37.585237923025
20211231,07:54:00,휘경1동 주민센터 건너편,127.065216514406,37.5927378196856
20211231,08:48:00,동대문구 왕산로23길 35(제기동 1158-58번지) 대신택배 앞,127.034151379007,37.5799052604262
20211231,18:27:00,서울 동대문구 청량리동 821,127.04447020772665,37.581882388447575
20211231,20:24:00,서울 동대문구 회기동 54-8,127.05543919649324,37.59146430946429
20211231,20:44:00,서울 동대문구 제기동 67-141,127.03511989176656,37.58423938582735
20220101,17:52:00,서울 동대문구 제기동 1158-77,127.03410690705805,37.57870758202736
20220103,07:02:00,서울 동대문구 제기동 65,127.03931013219376,37.57847395804244
20220103,09:32:00,동대문구 이문로1길 16-10 (지번)서울 동대문구 회기동 65-109 동일아트맨션13차A 앞 ,127.053454927863,37.5891590451116
20220103,21:05:00,서울 동대문구 회기동 42-66,127.0513551000401,37.592335614320845
20220104,08:12:00,제기동역4번출구  동대문구 왕산로 104 (용두동 92-1) 굿안경콘택트 용두점 앞,127.035080031246,37.5779484796182
20220104,13:47:00,서울 동대문구 회기동 1-5,127.05112485095346,37.59507022408254
20220105,08:05:00,동대문구 제기동역 4번출구 부근,127.03538868135496,37.57804722655839
20220105,11:53:00,동대문구 왕산로 147 (제기동 1015),127.03965869498,37.5787842338973
20220105,17:18:00,서울 동대문구 청량리동 819,127.0460064632263,37.58088169680545
20220105,17:26:00,동대문구 홍릉로 115-1 (청량리동 205-590),127.042178933348,37.5906004255074
20220106,07:07:00,동대문구 청량리동 208-33 (제기로 115) 앞 도로 ,127.046042768712,37.5870741188413
20220106,09:52:00,동대문구 제기동 1142-6 앞으로 대로변,127.039619007885,37.5910537006931
20220106,11:38:00,동대문구 홍릉로 63-1 (청량리동 553) 소화전 앞,127.043119042274,37.5858705055628
20220106,19:16:00,답십리2동두산아파트 [06225] 정류장앞,127.058481668249,37.5726990219608
20220108,15:09:00,서울 동대문구 제기동 1158-40,127.03376728145086,37.57870767966532
20220108,16:26:00,동대문구 한천로24길 74-1 (장안1동 374-11) 앞 이면도로 ,127.068801079207,37.5688010698052
20220109,12:18:00,경동시장로2길 51(청량리동 772번지) 현대다방 앞,127.043807882265,37.5804832127777
20220109,12:50:00,동대문구 이문로3길 41 (회기동 65-10 ),127.052639202168,37.5902030311015
20220109,15:18:00,제기동우체국(제기동 900-1번지) 앞 버스정류장 전후방 10M 이내,127.038932624325,37.5821409476615
20220109,16:39:00,서울 동대문구 제기동 137-166,127.03351324463846,37.58654414256411
20220110,10:15:00,동대문구 경희대로3길 20(회기동 42-16) 교촌치킨 경희대점 앞 ,127.051466221721,37.5928925590852
20220110,11:02:00,회기로4길 3(제기동 1146-9),127.037528023327,37.5910198760271
